c_file_name,category,error_type,llm_name,num_parameters,num_lines,cyclomatic_complexity
22471.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,161,2.875
5763.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,53,3.0
43326.c,VULNERABLE,array bounds violated: upper bound,gpt35,,105,9.0
15355.c,VULNERABLE,buffer overflow on fscanf,gemini_pro,,112,3.6
74053.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,111,2.75
3506.c,NON-VULNERABLE,,llama2,13.0,52,3.0
17330.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,107,5.0
46574.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,184,18.0
61.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,75,3.0
49234.c,VULNERABLE,buffer overflow on scanf,gpt35,,58,7.0
32461.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,80,2.8
24037.c,NON-VULNERABLE,,gemini_pro,,78,2.0
58130.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,115,2.0
33306.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,113,1.444
11407.c,VULNERABLE,dereference failure: forgotten memory,codellama,13.0,63,3.333
20907.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,80,4.5
44736.c,VULNERABLE,array bounds violated: lower bound,gpt35,,88,9.333
16558.c,UNKNOWN (time out),,gemma,7.0,51,6.0
2773.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,60,4.0
51806.c,VULNERABLE,buffer overflow on scanf,gpt35,,113,4.167
35349.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,65,2.75
25936.c,VULNERABLE,array bounds violated: upper bound,gpt4o_mini,,104,3.2
3389.c,VULNERABLE,dereference failure: invalid pointer,codellama,13.0,83,2.0
71120.c,UNKNOWN (time out),,gpt35,,84,7.0
55546.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,132,2.0
12989.c,VULNERABLE,arithmetic overflow on sub,gemini_pro,,75,5.0
45681.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,51,4.5
64704.c,VULNERABLE,buffer overflow on scanf,gpt35,,78,3.667
42180.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,68,3.667
5571.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,174,3.8
13149.c,UNKNOWN (time out),,gpt35,,116,4.667
55904.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,53,7.0
43496.c,NON-VULNERABLE,,gemma,7.0,55,5.0
26436.c,NON-VULNERABLE,,gemma,7.0,57,3.0
60190.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,99,9.0
11086.c,VULNERABLE,dereference failure: forgotten memory,codellama,13.0,89,2.5
31767.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,158,4.5
9317.c,VULNERABLE,arithmetic overflow on mul,gemini_pro,,142,4.2
51380.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,230,6.0
6443.c,UNKNOWN (time out),,llama2,13.0,91,4.0
3627.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,176,3.083
11451.c,VULNERABLE,array bounds violated: upper bound,falcon2,11.0,85,10.0
38209.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,54,1.5
28982.c,VULNERABLE,array bounds violated: lower bound,falcon,180.0,89,3.333
53426.c,UNKNOWN (time out),,gpt35,,96,9.0
13443.c,VULNERABLE,dereference failure: invalid pointer,llama2,13.0,58,7.0
14088.c,VULNERABLE,arithmetic overflow on add,gemma,7.0,104,5.5
6445.c,VULNERABLE,array bounds violated: upper bound,llama2,13.0,72,14.0
32153.c,VULNERABLE,buffer overflow on scanf,gpt35,,65,3.0
37636.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,175,3.571
46281.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,218,4.714
2195.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,51,1.667
63246.c,VULNERABLE,buffer overflow on scanf,gpt35,,183,5.25
22191.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,128,3.167
66364.c,VULNERABLE,arithmetic overflow on sub,gpt35,,112,9.0
65676.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,78,3.0
73930.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,109,16.0
49113.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,63,2.0
21953.c,VULNERABLE,dereference failure: forgotten memory,gemini_pro,,69,8.0
54780.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,68,4.0
26129.c,VULNERABLE,arithmetic overflow on add,gemini_pro,,160,4.2
6130.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,130,3.286
19818.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,139,4.333
18829.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,81,2.167
32105.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,104,2.6
30745.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,129,1.286
23373.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,71,7.0
9776.c,VULNERABLE,VLA array size in bytes overflows address space size,falcon,180.0,53,4.5
8846.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,127,4.167
11071.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,85,2.5
585.c,UNKNOWN (time out),,gemini_pro,,75,1.25
5477.c,VULNERABLE,arithmetic overflow on mul,codellama,13.0,69,1.0
10938.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,69,1.5
59152.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,189,2.071
30111.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,98,2.5
46979.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,60,1.75
5160.c,VULNERABLE,other,falcon2,11.0,114,2.0
20057.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,134,3.333
2271.c,VULNERABLE,buffer overflow on scanf,codellama,13.0,91,4.5
6463.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,70,4.5
53218.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,137,3.5
15106.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,153,2.889
51098.c,VULNERABLE,arithmetic overflow on sub,gpt35,,185,9.0
45908.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,123,2.4
23603.c,VULNERABLE,buffer overflow on scanf,gpt35,,119,3.667
18613.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,89,5.5
63845.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,82,3.25
14195.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,140,3.333
48185.c,UNKNOWN (time out),,falcon,180.0,75,5.0
6784.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,76,2.5
48309.c,VULNERABLE,arithmetic overflow on floating-point ieee_div,gpt35,,65,3.5
42989.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,59,2.5
9065.c,VULNERABLE,buffer overflow on scanf,mistral,7.0,77,6.5
46411.c,VULNERABLE,buffer overflow on scanf,gpt35,,140,3.75
35680.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,53,3.0
76138.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,98,6.667
2052.c,UNKNOWN (time out),,gemini_pro,,71,6.0
8087.c,UNKNOWN (time out),,gpt4o_mini,,142,2.857
35373.c,UNKNOWN (time out),,falcon,180.0,64,12.0
68876.c,VULNERABLE,buffer overflow on scanf,gpt35,,105,3.5
688.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,56,1.75
48816.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,57,1.75
11218.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,89,3.667
4288.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,108,1.667
71761.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,70,12.0
62578.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,97,2.8
28821.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,130,2.1
3006.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,83,3.333
76188.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,108,16.0
61432.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,92,3.667
40264.c,VULNERABLE,array bounds violated: lower bound,falcon,180.0,58,5.5
27589.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,95,6.0
4018.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,129,2.667
61181.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,94,1.833
9680.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,74,1.0
3141.c,UNKNOWN (time out),,llama2,13.0,62,14.0
3207.c,VULNERABLE,buffer overflow on sscanf,gpt35,,65,3.0
7760.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,143,1.9
58145.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,76,3.0
17310.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,64,9.0
29163.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,66,3.5
32068.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,127,1.25
71709.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,124,12.0
27857.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,68,11.0
3474.c,VULNERABLE,dereference failure: array bounds violated,gemini_pro,,174,7.333
40681.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,82,3.5
16018.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,64,1.667
12935.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,76,7.0
72139.c,VULNERABLE,buffer overflow on scanf,gpt35,,131,3.6
8448.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,108,2.333
35498.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,104,4.4
34728.c,VULNERABLE,buffer overflow on scanf,gpt35,,149,15.0
6069.c,UNKNOWN (time out),,gpt35,,60,2.2
22068.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,124,4.75
6762.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,86,2.167
15269.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,100,4.333
72615.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,196,1.444
18532.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,57,1.0
65166.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,65,1.8
57168.c,VULNERABLE,buffer overflow on scanf,gpt35,,60,2.333
7692.c,VULNERABLE,dereference failure: forgotten memory,falcon2,11.0,129,3.6
10821.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,90,7.5
62138.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,83,2.667
16026.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,83,3.25
35239.c,VULNERABLE,buffer overflow on scanf,gpt35,,82,6.0
68737.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,89,4.0
55815.c,VULNERABLE,buffer overflow on scanf,gpt35,,63,2.5
1951.c,VULNERABLE,buffer overflow on scanf,gpt35,,108,3.0
70184.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,72,3.5
75721.c,UNKNOWN (time out),,gpt35,,68,3.0
71249.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,96,2.4
8580.c,VULNERABLE,buffer overflow on scanf,gpt35,,198,3.8
40634.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,101,1.714
4169.c,VULNERABLE,dereference failure: forgotten memory,gemini_pro,,111,2.25
5460.c,VULNERABLE,buffer overflow on scanf,gpt35,,69,10.0
30133.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,82,7.0
12816.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,77,4.333
19136.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,73,2.25
43878.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,64,3.0
1765.c,UNKNOWN (time out),,codellama,13.0,70,2.25
40976.c,VULNERABLE,division by zero,gpt35,,120,3.2
3764.c,NON-VULNERABLE,,gemma,7.0,67,1.0
14679.c,VULNERABLE,arithmetic overflow on sub,gemini_pro,,132,4.667
23184.c,UNKNOWN (time out),,falcon,180.0,64,2.25
67491.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,101,3.0
30787.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,57,1.333
3139.c,VULNERABLE,arithmetic overflow on floating-point ieee_div,llama2,13.0,79,2.0
19267.c,UNKNOWN (time out),,gpt35,,273,2.615
24149.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,78,3.5
23835.c,VULNERABLE,buffer overflow on scanf,gpt35,,79,12.0
15484.c,NON-VULNERABLE,,llama2,13.0,82,1.333
61920.c,VULNERABLE,array bounds violated: lower bound,falcon,180.0,75,4.0
39103.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,115,15.0
16564.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,86,3.0
26372.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,68,1.333
52435.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,55,8.0
26451.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,53,2.0
1434.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,73,2.667
14690.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,96,2.667
19692.c,VULNERABLE,dereference failure: invalid pointer,llama2,13.0,106,3.0
8957.c,VULNERABLE,arithmetic overflow on sub,gpt4o_mini,,65,1.25
16789.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,59,2.0
37214.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,69,4.0
4699.c,VULNERABLE,arithmetic overflow on sub,codellama,13.0,114,12.0
18064.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,76,1.833
21537.c,UNKNOWN (time out),,falcon,180.0,66,5.0
19698.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,57,1.25
10999.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,212,7.5
34038.c,VULNERABLE,dereference failure: forgotten memory,gemini_pro,,67,7.0
3532.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,81,2.4
20891.c,VULNERABLE,dereference failure: array bounds violated,gemini_pro,,74,2.25
20902.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,96,4.0
5969.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,66,3.0
9285.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,160,4.167
37762.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,94,3.2
4860.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,mistral,7.0,51,3.0
29418.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,170,9.5
75247.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,101,4.333
1402.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,79,1.6
38423.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,110,2.0
10461.c,VULNERABLE,buffer overflow on scanf,gpt35,,128,3.2
34.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,69,9.0
10453.c,VULNERABLE,arithmetic overflow on sub,gemma,7.0,56,2.0
39041.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,gemma,7.0,78,13.0
28559.c,VULNERABLE,dereference failure: array bounds violated,gpt4o_mini,,141,3.625
24227.c,VULNERABLE,dereference failure: Access to object out of bounds,gpt4o_mini,,105,8.0
5002.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,52,8.0
11266.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,95,2.4
5094.c,NON-VULNERABLE,,codellama,13.0,62,5.0
38496.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,55,12.0
58086.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,75,4.0
12578.c,VULNERABLE,buffer overflow on scanf,gpt35,,137,6.0
76383.c,VULNERABLE,arithmetic overflow on floating-point ieee_add,gpt35,,65,2.0
29250.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,82,10.0
35816.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,51,2.667
31253.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,68,2.333
63003.c,VULNERABLE,VLA array size in bytes overflows address space size,falcon,180.0,52,5.5
66473.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,68,5.0
46541.c,UNKNOWN (time out),,falcon,180.0,68,2.2
6670.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,137,6.333
8127.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,88,2.25
10993.c,UNKNOWN (time out),,codellama,13.0,102,30.0
2091.c,VULNERABLE,dereference failure: invalid pointer,mistral,7.0,121,3.0
16625.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,59,3.0
10822.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,138,2.714
24447.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,57,5.0
3047.c,VULNERABLE,array bounds violated: upper bound,gpt35,,60,15.0
11906.c,VULNERABLE,array bounds violated: upper bound,gpt4o_mini,,127,3.0
32350.c,VULNERABLE,dereference failure: forgotten memory,gpt4o_mini,,121,2.667
55587.c,VULNERABLE,arithmetic overflow on add,falcon,180.0,53,5.0
11234.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,84,3.25
18221.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,148,1.0
14464.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,67,2.333
21045.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,55,8.5
33845.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,67,3.0
12809.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,57,1.333
10511.c,VULNERABLE,arithmetic overflow on sub,falcon2,11.0,129,3.0
19330.c,UNKNOWN (time out),,gemini_pro,,86,4.5
9184.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,65,1.75
33744.c,VULNERABLE,buffer overflow on scanf,gpt35,,168,4.0
11899.c,VULNERABLE,array bounds violated: lower bound,gpt4o_mini,,112,4.25
22815.c,VULNERABLE,dereference failure: array bounds violated,gpt4o_mini,,97,3.4
31598.c,VULNERABLE,dereference failure: invalid pointer,gemma,7.0,55,1.0
24194.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,89,7.5
5990.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,falcon2,11.0,79,2.0
2635.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,132,3.429
11493.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,219,3.714
13491.c,VULNERABLE,array bounds violated: upper bound,gpt4o_mini,,100,6.5
45921.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,85,4.25
72344.c,VULNERABLE,buffer overflow on scanf,gpt35,,74,2.25
6115.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,75,2.0
76712.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,115,4.0
32197.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,65,2.333
21449.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,78,4.5
57227.c,UNKNOWN (time out),,falcon,180.0,65,8.0
44903.c,NON-VULNERABLE,,gpt35,,74,4.25
22881.c,NON-VULNERABLE,,falcon,180.0,76,2.4
11346.c,VULNERABLE,array bounds violated: lower bound,falcon2,11.0,78,10.0
28623.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,121,2.667
65159.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,74,2.8
779.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,78,5.0
55893.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,180,4.7780000000000005
3311.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,81,9.0
9905.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,61,5.0
9647.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,129,5.0
38102.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,86,3.333
20598.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,107,1.143
61165.c,UNKNOWN (time out),,falcon,180.0,77,5.5
19509.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,148,3.167
5912.c,PARSING ERROR,,gemma,7.0,100,4.5
38236.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,89,3.0
33916.c,UNKNOWN (time out),,falcon,180.0,57,3.667
8693.c,UNKNOWN (time out),,codellama,13.0,51,2.0
8692.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,76,2.4
10947.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,82,1.5
3332.c,UNKNOWN (time out),,codellama,13.0,65,3.333
27965.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,135,2.857
5154.c,UNKNOWN (time out),,gpt4o_mini,,99,2.0
52779.c,NON-VULNERABLE,,falcon,180.0,79,1.5
1840.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,55,1.333
14880.c,VULNERABLE,buffer overflow on scanf,gpt35,,154,4.5
39235.c,VULNERABLE,buffer overflow on scanf,gpt35,,82,12.0
38589.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,57,1.333
40361.c,VULNERABLE,arithmetic overflow on sub,gpt35,,112,3.143
38907.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,80,8.5
1703.c,VULNERABLE,array bounds violated: lower bound,falcon,180.0,73,2.0
70495.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,51,3.0
19966.c,UNKNOWN (time out),,llama2,13.0,60,3.0
898.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,83,1.667
21205.c,VULNERABLE,dereference failure: invalid pointer,gemma,7.0,55,1.0
36165.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,143,2.333
13430.c,VULNERABLE,buffer overflow on scanf,gpt35,,113,3.8
65324.c,VULNERABLE,array bounds violated: lower bound,gpt35,,130,7.8
4040.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,65,3.0
14381.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,168,6.333
13087.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,53,3.5
2655.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,76,8.0
22806.c,NON-VULNERABLE,,gpt35,,76,2.2
5312.c,UNKNOWN (time out),,mistral,7.0,62,8.5
4297.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,236,2.25
3335.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,99,2.4
63485.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,54,10.0
7742.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,78,5.0
2913.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,91,2.0
26019.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,62,2.2
61009.c,VULNERABLE,buffer overflow on scanf,gpt35,,230,5.2
9978.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,157,2.0
8532.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,66,1.667
23528.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,61,4.0
707.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,72,1.75
1652.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,86,3.2
13548.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,66,1.333
59676.c,VULNERABLE,buffer overflow on scanf,gpt35,,99,3.0
8628.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,154,21.0
20339.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,83,2.5
6.c,VULNERABLE,dereference failure: array bounds violated,gpt4o_mini,,118,3.143
6539.c,VULNERABLE,arithmetic overflow on mul,gemma,7.0,56,5.0
17316.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,59,1.5
3012.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,98,1.875
37188.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,147,4.4
5475.c,UNKNOWN (time out),,gemini_pro,,74,6.0
14264.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,96,4.0
11608.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,53,2.5
14737.c,UNKNOWN (time out),,gemini_pro,,135,1.4
34855.c,VULNERABLE,buffer overflow on sscanf,gpt4o_mini,,85,4.0
71769.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,56,2.0
67463.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,68,3.0
33447.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,79,5.0
9123.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,90,2.5
55437.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,89,3.25
69764.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,59,6.0
30079.c,UNKNOWN (time out),,gpt35,,70,8.0
21242.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,83,3.0
1932.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,89,1.429
10415.c,VULNERABLE,array bounds violated: lower bound,gemma,7.0,56,8.0
27544.c,VULNERABLE,arithmetic overflow on sub,gemma,7.0,68,2.333
39517.c,VULNERABLE,buffer overflow on scanf,gpt35,,103,10.0
13532.c,VULNERABLE,dereference failure: invalid pointer,gemma,7.0,87,7.0
12893.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,78,1.5
41482.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,72,3.0
61055.c,VULNERABLE,buffer overflow on scanf,gpt35,,117,10.0
21200.c,VULNERABLE,array bounds violated: upper bound,gpt4o_mini,,99,5.5
301.c,UNKNOWN (time out),,llama2,13.0,55,1.667
377.c,VULNERABLE,arithmetic overflow on floating-point ieee_div,gemma,7.0,54,4.0
6619.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,64,2.333
15316.c,VULNERABLE,array bounds violated: upper bound,gpt4o_mini,,82,2.333
3186.c,VULNERABLE,dereference failure: accessed expired variable pointer,gpt4o_mini,,118,1.778
13290.c,VULNERABLE,buffer overflow on scanf,gpt35,,85,4.25
36060.c,UNKNOWN (time out),,gemma,7.0,54,4.0
8659.c,UNKNOWN (time out),,falcon,180.0,74,5.5
12061.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,82,3.0
14292.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,75,5.5
10091.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,135,1.6
22680.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,59,5.0
62860.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,99,1.375
34275.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,160,25.0
12235.c,VULNERABLE,buffer overflow on scanf,gpt35,,134,4.0
11848.c,VULNERABLE,array bounds violated: upper bound,falcon2,11.0,83,17.0
41140.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,53,2.0
58618.c,UNKNOWN (time out),,falcon,180.0,69,4.0
6856.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,65,8.0
44656.c,VULNERABLE,arithmetic overflow on sub,gpt35,,119,3.0
26568.c,PARSING ERROR,,gemini_pro,,138,2.143
69.c,VULNERABLE,dereference failure: array bounds violated,falcon2,11.0,127,21.0
26429.c,UNKNOWN (time out),,gpt35,,140,3.25
29486.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,66,2.25
